title,author,category,rating
Severance,Ling Ma,Science Fiction & Fantasy,4
The Left Hand of Darkness,Ursula K. Le Guin,Science Fiction & Fantasy,5
Pachinko,Min Jin Lee,Fiction,5
The Thousand Autumns of Jacob de Zoet,David Mitchell,Fiction,4
Why Are All the Black Kids Sitting Together in the Cafeteria,Beverly Daniel Tatum,Social Science,5
Debt: The First 5000 Years,David Graeber,History,5
The True History of Chocolate,Sophie D. Coe and Michael D. Coe,History,3
Flavor Flours,Alice Medrich,Cookbooks,3
Assassin's Apprentice,Robin Hobb,Science Fiction & Fantasy,5
Six Thousand Years of Bread,H. E. Jacob,History,5
Unequal Childhoods,Annette Lareau,Social Science,4
Polysecure,Jessica Fern,Family & Relationships,5
The Count of Monte Cristo,Alexandre Dumas,Fiction,4
America is Not the Heart,Elaine Castillo,Fiction,5
Infinite Detail,Tim Maughan,Science Fiction & Fantasy,3
Gideon the Ninth,Tamsyn Muir,Science Fiction & Fantasy,3
Sister Outsider,Audre Lorde,Nonfiction,5
The Great Gatsby,F. Scott Fitzgerald,Fiction,3
The Remains of the Day,Kazuo Ishiguro,Fiction,4
Six of Crows,Leigh Bardugo,YA Fantasy,2
The City of Brass,S. A. Chakraborty,Science Fiction & Fantasy,5
Girl Woman Other,Bernardine Evaristo,Fiction,5
The House of the Scorpion,Nancy Farmer,YA Fantasy,4
